Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
canbagaud	afflicter			
bagon	beech forest			
bagu	beech			
bal	penis			
balan	broom			
prenal balan	broom bush			
prenal	bush		derivation / compound	pren + -al, “tree-let”, i.e. small tree
balani	to sweep	verb		
balaniat	sweeper			
balar	bald			
balarac	baldly			
balaras	baldness			
balari	to go bald	verb		
balc	tough			
balcid	dignified			
balcidas	dignity			
balcas	toughness			
balci	to toughen	verb		
balciat	toughener			
balcan	toughening	noun		noun
balin	fuck			
baliniat	fucker			
balini	to fuck	verb		
balu	cave			
balwi	to cave	verb		
balwiat	caver			
balwian	caving	noun		noun
balugwidait	speleology		derivation / compound	balu + gwidait, “cave-science”
balugwid	speleologist		derivation / compound	balu + gwid, “cave-scientist”
ban	peak			
banac	peaky			
bani	to peak	verb		
baniat	peaker			
barban	summit		derivation / compound	bar + ban, “top of peak”
barbaniat	summiter			
barbani	to summit	verb		
barbanan	summiting	noun		noun
banu	piglet			
bar	top			
bari	to top	verb		
bariat	topper			
baran	topping			
bard	bard			
bard	poet			
bardi	to compose	verb		
bardan	composition			
bardiat	composer			
bardal	songbird		derivation / compound	bard + -al, “small bard”, < Gaul. bardala, DLG 2003, p. 67
bardit	war cry			
barditan	slogan			
bardit	battle chant			
divardan	satire			
divardi	to satirise	verb	derivation / compound	di + bardi, “un-compose”, cf. W. dychan “un-sing”
divardiat	satirist			
bargu	bread			< Pr. C. bargu-, not attested in Gaulish
bargwi	to bake	verb		
bargwiat	baker			
bargwian	bake	noun		noun
barnu	judgement			
barnue	judgements			
enbarnu	opinion		derivation / compound	en + barnu, “inside-judgement”
barna	to judge	verb		
barnaiat	judger			
barnan	judging	noun		noun
enbarna	to opine	verb		
enbarnaiat	opiner			
enbarnan	opining	noun		noun
barnac	judgemental			
enbarnac	opinionated			
barnaun	judge			
basc	weave	noun		noun; pattern in woven fabric
sirbasc	braid			
sirbasc	plait			
storbascaud	basin		derivation / compound	stor + bascaud, “solid basket”
stor	solid			
storas	solidity			
stori	to solidify	verb		
storiat	solidifier			
storan	solidification			
ster	firm			
steras	firmness			
steri	to firm	verb		
steriat	firmer			one who firms
steran	firming	noun		noun
asteri	to affirm	verb		
asteriat	affirmer			
asteran	affirmation			
costeri	to confirm	verb		
costeriat	confirmer			
costeran	confirmation			
atasteri	to reaffirm	verb	derivation / compound	at(e) + asteri, “again-affirm”, loss of /e/ before /a/
atasteriat	reaffirmer			
atasteran	reaffirmation			
bascaud	basket			
basci	to weave	verb		
sirbasci	to braid	verb		
sirbasci	to plait	verb	derivation / compound	sir + basci, “long-weave”
basciat	weaver			
sirbasciat	braider			
sirbasciat	plaiter			
bat	stick			
suvat	cudgel		derivation / compound	su + bat, “good stick”
baton	baton			
batan	fight			
bata	to fight	verb		
bataiat	fighter			
bator	combatant			
batu	appearance			
batwi	to appear	verb		
batwian	appearance			
batwiat	appearer			
bau	mud			
baunac	muddy		derivation / compound	bau + -ac, “mud-like”, n-enlargement, cf. Anaone, DLG 2003, p. 45 
baunacas	muddiness			
bauni	to muddy	verb		to make muddy
bauniat	muddier			someone who makes muddy
baunan	muddying	noun		noun
bia	to cut	verb		bia mi = I cut, < onobiia “thirst-cut”, DLG 2003, p. 242
bia mi	I cut			
bec	beak			
becu	bee			
duvecu	wasp			
bed	ditch			
duvedi	to ditch	verb	derivation / compound	to dump someone; du + bed + i, “bad-ditch-ing”
duvediat	ditcher			
duvedan	ditching	noun		noun
aucati	to cast out	verb	derivation / compound	au + cati, “away-throw”
aucatiat	outcaster			
aucatan	outcasting	noun		noun
aucatat	outcast			
bedsir	canal		derivation / compound	bed + sir, “long-ditch”
bedsiri	to canalise	verb		
bedsiriat	canaliser			
bedsiran	canalisation			
bedu	trench			
bedwi	to trench	verb		to dig a trench
bedwiat	trencher			
bedwian	trenching	noun		noun
sagu bedu	trench coat			
sagu	coat			
sagwi	to coat	verb		
sagwian	coating			
sagwiat	coater			
sagan	film			
sagul	membrane		derivation / compound	sagu + -l, “small-coat”; diminutive suffix –l after vowel
enbedwi	to entrench	verb	derivation / compound	en + bedwi, “in-trench-ing”
enbedwiat	entrencher			
enbedwian	entrenchment			
esbedi	to extract	verb	derivation / compound	es + bed, “out-dig”
esbediat	extracter			
esbedan	extraction			
bedi	to dig	verb		
bediat	digger			
bedan	dig	noun		noun
bedari	to persuade	verb		
bedar	persuasion			< Bedarus, Bedasius, DLG 2003, p. 70
bedariat	persuader			
biat	cutter			
bel	powerful			
bela	to reject	verb		
belat	rejection			
belen	henbane			halucinogenic plant
belenac	halucinogenic			
belenan	halucination			
beleni	to halucinate	verb		
beleniat	halucinator			
belaiat	rejector			
belican	thousand-leaf			plant
belis	power			
belisam	biggest power			
nanbelis	powerhunger			
nanbelisac	powerhungry			
besloi	culture		derivation / compound	bes + -loi, “custom-collective”
ben	woman			
bencel	wife		derivation / compound	ben + cel, “woman-partner”
benac	female			
bengwetan	wedding		derivation / compound	ben + gwetan, “woman-leading”, < gweti “to lead”, cf. Br. bangwez, DLG 2003, p. 72
bengweti	to wed	verb		
bengwetiat	celebrant			“woman-leader”, person who leads a woman [to the altar]
benin	feminine			
beninas	femininity			
ber	to carry	verb		Lezoux 1970, DLG 2003, p. 340
beran	portage			
berg	mount			
bergi	to mount	verb		
bergan	mounting			
bergiat	mounter			
beriat	carrier			
bertu	carriage			
beru	source			
berul	water cress			
aver	to sacrifice	verb	derivation / compound	a + ber, “towards-bring”
averiat	sacrificer			
avertu	sacrifice			physical matter; cf. W. aberthu
averan	sacrifice			act of offering
avertunac	sacrificial			
berwi	to source	verb		
berwiat	sourcer			
berwian	sourcing			
bes	custom			habit
besa	to customise	verb		
besaiat	customiser			
besan	customisation			
besaun	customer			
besaunait	custom			clientele
olbes	habit		derivation / compound	ol + bes, “all-custom”
olbesac	habitual			
olbesa	to habituate	verb		
olbesan	habituation			
olbesaiat	habituater			
bet	crazy			DLG 2003, p. 64
duvet	insane		derivation / compound	du + bet, “bad-crazy”
betas	crazyness			
duvetas	insanity			
suvet	debauched		derivation / compound	su + bet, “good-crazy”
suvetas	debauchery			
suveti	to debauch	verb		
suvetiat	debaucher			
suvetan	debauching	noun		noun
betu	birch tree			
betul	resin			
betulon	sap		derivation / compound	cf. Betulonius, DLG 2003, p. 74, betul + on, “resin-water(flow)”, cf. on “water(flow)”
betulu	gum			
betun	tar			< L. bitumen, loan from Gaulish
bevar	beaver			< beber, VulgLat. < bebr-, epenthetic /a/ cf. petuar-, etan- < petr-, etn-; DLG 2003, p. 69
bevari	to beaver	verb		
bevariat	beaverer			
bevaran	beavering	noun		noun
bi	will be			bi mi = I will be
bi mi	I will be			
bil	tree trunk			
bian	cut	noun		noun
gwiduv	axe			< uidubion, “wood-cut-thing”, DLG 2003, p. 75
gwiduvi	to axe	verb		
gwiduviat	axer			
gwiduvion	axing	noun		noun
bir	short			
biras	shortness			
bis gentu	to be born	verb		
bis	to be	verb		
bis	finger			
bisal	little finger			“pinkie”
bisa	to finger	verb		
bisaiat	fingerer			
bisan	fingering	noun		noun
biwit	life			
biwitac	life-like			
biwitaiunac	eternal		derivation / compound	biwit + aiunac, “life-age-like”
biwitaiu	eternity		derivation / compound	biwit + aiu, “life-age”
biwiti	to live	verb		
biwitiat	live-er			someone who lives
daiviwitiat	well-live-er		derivation / compound	dai + biwitiat, “good-live-er”, “bon-vivant”, someone who enjoys the good life
biwitan	living	noun		noun
bitu	world			
bitunac	worldly			
bitunacas	worldliness			
anbitunac	unwordly			
anbitunacas	unworldliness			
biu	alive			
biunas	aliveness			
biunac	lively			
biunacas	liveliness			
enbiuni	to enliven	verb		
enbiuniat	enlivener			
enbiunan	enlivening			
blan	soft			
blanas	softness			
blani	to soften	verb		
blaniat	softener			
blanan	softening			
suvlan	courteous		derivation / compound	su + blan, “good-soft”
suvlanas	courtesy			
blat	tender			
blatas	tenderness			
blati	to tenderise	verb		
blatiat	tenderiser			
blatan	tenderisation			
blatu	flower			
blatumai	flowerfield			
blotu	flour			
bloti	to grind	verb		
blotan	grind			
blotiat	grinder			
bled	wolf			
bledin	wolvish			lupine
bledgwir	male wolf		derivation / compound	bled + gwir, “wolf-man”
bledben	female wolf		derivation / compound	bled + ben, “wolf-woman”
benbled	whore		derivation / compound	ben + bled, “woman-wolf”
gwirbled	male whore		derivation / compound	gwir + bled, “man-wolf”
benlucu	lynx woman		derivation / compound	ben + lucu, “woman-lynx”
gwirlucu	lynx man		derivation / compound	gwir + lucu, “man-lynx”
lucuven	female lynx			
lucugwir	male lynx			
bengal	capable woman		derivation / compound	ben + gal, “woman-able”, < banogalis, DLG 2003, p. 72
gwirgal	capable man			
galuven	woman power			
galugwir	man power			
benbledi	to prostitute	verb		“to woman-wolve”
benbledan	prostitution	noun		noun
benbled	prostitute			
benblediat	prostituter			
brenbled	pimp		derivation / compound	bren + bled, “chief-wolf”
brenbledi	to pimp	verb		
brenbledan	pimping	noun		noun
bleden	year			< blednis, Lambert 2003, p.117
bledenac	yearly			
penbleden	birthday		derivation / compound	pen + bleden, “end-year”, cf. W, penblwyddyn
blusagu	plant that heals earaches			
blusa	to inflate	verb		
blusaiat	inflater			
blusan	inflation			
blusaga	to deflate	verb		< blutthagio, “inflation-bringing[away]”
blusagaiat	deflater			
blusagan	deflation			
bo	cow			attested as such, reduced form of bow-, DLG 2003, p. 79
bowe	cows			plural from etymological bow-, DLG 2003, p. 79
bogwir	steer		derivation / compound	bo + gwir, “cow-man”
boven	heifer		derivation / compound	bo + ben, “cow-woman”
bowis	heifer			from etymological bow-, DLG 2003, p. 79
bowin	bovine			
bowid	pertaining to cattle	adjective		bouido, Chateaubleau, Mees 2011
botei	stable		derivation / compound	bo + tei, “cow-house”, cf. Fr. bouge < *boutego-, id., DLG 2003, p. 80
gwindi	to acquire	verb		< Conto-bouio-uindillus, “who has obtained a hundred cows”, DLG 2003, p. 79
gwindiat	acquirer			
gwindan	acquisition			
bowi	to increase	verb		< bow-, “cow”, cattle as wealth, see DLG 2003, p. 79
bowan	increase	noun		noun
bowiat	increaser			
boc	mouth			
bocid	mouthy			
boci	to mouth off	verb		
duvoci	to rant	verb		
bociat	one who mouths off			
bocan	mouthing-off	noun		noun
duvociat	ranter			
duvocan	rant			
gwiduvoc	spoon		derivation / compound	gwidu + boc, “wood-mouth”
gwiduvoci	to spoon	verb		
gwiduvociat	spooner			
gwiduvocan	spooning	noun		noun
gwiducum	scoop		derivation / compound	< gwidu + cum, “wood-hollow”
gwiducumi	to scoop	verb		
gwiducumiat	scooper			
gwiducuman	scooping	noun		noun
bod	advantage			
bodiu	blond			
baiu	yellow			
bodar	deaf			
bodaras	deafness			
bodari	to deafen	verb		
bodariat	deafener			
bodiunas	blondness		derivation / compound	bodiu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
bodiunac	blondish		derivation / compound	bodiu + -nac, n-enlargement, cf. Anaone, DLG 2003, p. 45
baiunas	yellowness		derivation / compound	baiu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
baiunac	yellowish		derivation / compound	baiu + -nac, n-enlargement, cf. Anaone, DLG 2003, p. 45
bodi	to advantage	verb		
bodiat	advantager			
bodiuni	to bleach	verb		
bodiuniat	bleacher			
bodiunan	bleaching	noun		noun
baiuni	to yellow	verb	derivation / compound	baiu + -ni, cf. carni < car-ni, DLG 2003, p. 106
baiuniat	yellower			one who makes yellow
baiunan	yellowing	noun		noun
bodac	advantageous			
bodan	advantaging	noun		noun
bodiunol	bleach			
bodu	crow			
bodwin	crow-like		derivation / compound	bodu + -in
bodwi	to crow	verb		
bodwiat	crower			
bodwian	crowing	noun		noun
boi	to hit	verb		
boiac	terrible			
boiat	hitter			
boimotan	wank	noun		noun
boimoti	to wank	verb	derivation / compound	boi + moti, “hit-fuck”
boimotiat	wanker			
boitol	hit	noun		noun
boslan	handful		derivation / compound	bos + lan, “palm-full”
bolus	ivy			
bon	durable			
bonas	durability			
boni	to found	verb		
boniat	founder			
bonan	foundation			
bonon	prosperous			
bononas	prosperity			
bonac	constant			“durable-like”
bonacas	constantness			
acuvor	to agitate	verb	derivation / compound	acu + bor, “fast-move”
bor	to move	verb		
boriat	mover			
acuvoriat	agitator			
acuvoru	agitation			
boran	move			
boranait	movement			
boru	hot spring			
borwi	to boil	verb		
borwian	boiling	noun		noun; state of boiling e.g. water etc.
borwiat	boiler			
bos	palm of hand			
bosan	measure			
bosa	to measure	verb		
bosaiat	measurer			
bospeta	to beg	verb		
bospetaiat	beggar			
bospetan	begging	noun		noun
marbos	ladle		derivation / compound	mar + bos, “big-palm”
marbosa	to ladle	verb		
marbosaiat	ladler			
marbosan	ladling	noun		noun
boteini	to stable	verb		
boteiniat	stabler			
boteinan	stabling	noun		noun
bra	heavy			
branas	heaviness			
brac	malt			
brace	trousers			
bracale	shorts			
gwovrace	underpants			
gwovracloi	underwear			
braci	to brew	verb		
Braciac	god of beer			
braciat	brewer			
bracan	brewing	noun		noun
bracu	brew	noun		noun
embracit	sauce			DLG 2003, p. 85
embracitac	saucy			
brai	to weigh	verb		
braitol	weight			
braiat	weigher			
bran	raven			
branc	paw			
branci	to paw	verb		
branciat	pawer			
brater	brother			
brater atwian	foster brother		derivation / compound	brater + atwian, “brother-fostering”
bratercro	blood-brother		derivation / compound	brater + cro, “bother-blood”
braterac	brotherly			
brateracas	brotherliness			
braterait	brotherhood			rius, cotamicas, braterait = liberté, égalité, fraternité / freedom, equality, brotherhood
bratu	thanks			
bratunas	gratitude		derivation / compound	bratu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
bratwi	to thank	verb		
bratwiat	thanker			
bratwian	giving thanks			
bratumar	grateful			
brau	mill			
braunawel	windmill		derivation / compound	brau + awel, “mill-wind”, n-enlargement, cf. Anaone, DLG 2003, p. 45
brauni	to mill	verb		
brauniat	miller			
braunan	milling	noun		noun
bren	chief			
brenpen	boss		derivation / compound	bren + pen, “chief-head”
bret	reflection			mental
breti	to reflect	verb		
bretiat	reflector			
bretan	reflecting	noun		noun
bri	mountain			
briagu	iceberg		derivation / compound	bri + iagu, “mountain-ice”
briu	bridge			
briac	mountainous			
briloi	mountain range		derivation / compound	bri + loi, “mountain-collective”
briganu	eminent			
brigan	elevated			
briganan	elevation			
briganunas	eminence		derivation / compound	briganu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
brigani	to elevate	verb		
briganiat	elevator			
briuni	to bridge	verb		
briuniat	bridger			
briunan	bridging	noun		noun
bric	stain			
brici	to stain	verb		
briciat	stainer			
brican	staining	noun		noun
bricu	brindle			
suvric	picture		derivation / compound	su + bric, “good-stain”
suvrici	to picture	verb		
suvriciat	picturer			
suvrican	picturing	noun		noun
olbrici	to depict	verb	derivation / compound	ol + brici, “all-stain”, cf. L. depict- “completely-paint”
olbriciat	depicter			
olbrican	depiction			
brin	artemisia			plant
brigi	brief			
brigiom	briefest			
briga	to brief	verb		
brigaiat	briefer			
brigan	briefing			
avriga	to abbreviate	verb	derivation / compound	a + brigi, “towards-brief”, cf. L. abbreviare, id.
avrigaiat	abbreviater			
avrigan	abbreviation			
bris	to break	verb		
brisan	break			
brisiat	breaker			
britan	magic			
britani	to perform magic	verb		
britaniat	magician			
britanu	performance of magic			
britu	consideration			
britunac	considerable			
britwi	to consider	verb		
britwiat	considerer			
atevritwi	to reconsider	verb		
atevritwiat	reconsiderer			
atevrritwian	reconsideration			
brigu	vigour			
brigunac	vigourous		derivation / compound	brigu + -nac, epenthetic /n/
brigul	impetuous			
brigulas	impetuosity			
broc	badger			
